exposure,n,sumw,ess,psmin,psq01,psmed,psq99,psmax,cohort
Local procedure,15545,8873.89540470199,13880.4397665463,0.0201750749650394,0.1210003810503,0.579908768406456,0.942773907308305,0.984496381851801,CRC
Oncologic resection,38490,8873.89540470924,24360.7693295426,0.0685363850151126,0.282513807302755,0.810623744467314,0.980957065470817,0.991872144247682,CRC
Local procedure,34543,1789.39130057989,21684.0779600925,0.000616386007986009,0.00316861696667027,0.0436351084677186,0.187382872015962,0.498987541616931,Bladder
Cystectomy,1957,1789.39130055878,1949.41230571425,0.00142168506802061,0.00928396020589076,0.0742024525679594,0.306129863793474,0.548383551153895,Bladder
