cohort,n,median_reverse_km_followup_years,max_crude_smd,max_weighted_smd,unknown_size_n,unknown_size_pct,unknown_grade_n,unknown_grade_pct,nx_n,nx_pct
CRC,54035,10.3928815879535,0.746009127734071,3.62265336137266e-12,19599,0.362709355047654,7096,0.131322291107615,1007,0.0186360692143981
Bladder,36500,10.6721423682409,0.415524814249906,2.45831230673709e-11,17930,0.491232876712329,2587,0.0708767123287671,835,0.0228767123287671
