scenario_id,se,sp,uhr,source,mu_B,sd_B,mcse_mu_B,successful,failed,cache_status
301,1.0,1.0,1.0,3,1.169218595514221e-06,0.002770307443986348,0.0002770307443986348,100,0,new
302,1.0,1.0,0.5,7,-0.10812918037703646,0.0037221930200524757,0.00037221930200524755,100,0,new
303,1.0,1.0,0.33,11,-0.1563408989087401,0.00280639610871989,0.000280639610871989,100,0,new
304,0.9,0.9,1.0,15,0.03470224230111151,0.0030358160531876,0.00030358160531876,100,0,new
305,0.9,0.9,0.5,19,-0.04970115734131462,0.002784389170457617,0.0002784389170457617,100,0,new
306,0.9,0.9,0.33,23,-0.08714944406253634,0.003140091157155909,0.00031400911571559094,100,0,new
307,0.75,0.85,1.0,27,0.06512753953845507,0.003072682272228198,0.0003072682272228198,100,0,new
308,0.75,0.85,0.5,31,0.0019412372647791968,0.0028966422571824915,0.00028966422571824913,100,0,new
309,0.75,0.85,0.33,35,-0.026256692073046938,0.003029443858242458,0.0003029443858242458,100,0,new
