rep,sensitivity,specificity,uhr,bias_loghr,n_cancer,n_other,uhr_draw_method,status,failure_reason
51,0.8725929872475403,0.8624928372128009,0.33984166891275214,-0.0640091867350486,99626,78613,accept-reject truncated Normal,ok,
52,0.8435565320019707,0.8807204247878364,0.2510687985081276,-0.0723294360428296,97459,77512,accept-reject truncated Normal,ok,
53,0.8974854047453248,0.89790983530259,0.41256864550394257,-0.05714498699147447,100101,79705,accept-reject truncated Normal,ok,
54,0.8722701243873283,0.8973226977398913,0.3979629952627365,-0.05957653122043577,100184,79368,accept-reject truncated Normal,ok,
55,0.8571454593905398,0.8674320192057273,0.3867552860183863,-0.04467533415606817,100233,79102,accept-reject truncated Normal,ok,
56,0.8934068420339808,0.928627030197344,0.3027718807083674,-0.09959224060325175,98411,78520,accept-reject truncated Normal,ok,
57,0.8746976130706233,0.9513062212472243,0.46273451874094984,-0.07215700204655068,100797,79810,accept-reject truncated Normal,ok,
58,0.7432272613559303,0.9143540613133235,0.23019672716855114,-0.08619834866560683,97119,77331,accept-reject truncated Normal,ok,
59,0.9272634725445201,0.8991296415295033,0.35412737901910907,-0.09343434948334653,99257,79123,accept-reject truncated Normal,ok,
60,0.8026656996119228,0.8966136970116937,0.5313566850408623,-0.021566851789017377,100903,80539,accept-reject truncated Normal,ok,
61,0.8299095600008605,0.8829637614636164,0.29171373271055634,-0.08363491766676512,98194,78784,accept-reject truncated Normal,ok,
62,0.8282993672032488,0.9100915841324998,0.44395027503927803,-0.04582669100948947,100350,79969,accept-reject truncated Normal,ok,
63,0.8516038533202717,0.8978434123799844,0.4475253209307429,-0.04720866458621384,100760,79882,accept-reject truncated Normal,ok,
64,0.8975938959488164,0.953118849151601,0.44514157638374824,-0.07742742351761395,100526,79854,accept-reject truncated Normal,ok,
65,0.6446421675607783,0.9099060890197411,0.2355640920990706,-0.04216035429908724,96826,77651,accept-reject truncated Normal,ok,
66,0.8880775229857832,0.8633510722795751,0.5033293200649847,-0.033478010499242566,100940,80208,accept-reject truncated Normal,ok,
67,0.851053917924598,0.8808422219309447,0.4169613744937911,-0.05825320495944003,100152,79643,accept-reject truncated Normal,ok,
68,0.8741794427006545,0.9030226418013726,0.4518839810361533,-0.05264276971413956,100354,80144,accept-reject truncated Normal,ok,
69,0.8979568823096512,0.7974404584312199,0.4332608625543204,-0.043361833765878016,100453,79921,accept-reject truncated Normal,ok,
70,0.8481001540717062,0.9167305194236244,0.40880526004071766,-0.0793149088055225,100157,79642,accept-reject truncated Normal,ok,
71,0.9202621907614058,0.9086690342388886,0.5245211534269243,-0.05878668161994599,101134,80354,accept-reject truncated Normal,ok,
72,0.6812221695104296,0.8986691175565216,0.5462624497234012,-0.0002687220557895109,101225,80475,accept-reject truncated Normal,ok,
73,0.9092018429180007,0.9269796619064912,0.21739680946494436,-0.12310611037280664,97093,76996,accept-reject truncated Normal,ok,
74,0.8848704966667669,0.9240459811190843,0.32527204204045373,-0.0925923501597968,99407,78604,accept-reject truncated Normal,ok,
75,0.8462098807877961,0.8970144652062125,0.3862522118113914,-0.0517634492109921,100154,79410,accept-reject truncated Normal,ok,
76,0.8429895850802682,0.9375013150272615,0.1865051024011833,-0.10367438209188859,95457,76181,accept-reject truncated Normal,ok,
77,0.8501986265987718,0.8462810390581665,0.5490805614476691,-0.022798339896678316,101064,80906,accept-reject truncated Normal,ok,
78,0.8680640808702764,0.9181430797206837,0.3257661326385456,-0.09351402313573084,98912,79227,accept-reject truncated Normal,ok,
79,0.8770636426522103,0.9564169701569688,0.45925435223167854,-0.07145537896243845,100707,79893,accept-reject truncated Normal,ok,
80,0.8035461638963487,0.8567882746507474,0.4248496291431833,-0.01959330995179165,100271,79665,accept-reject truncated Normal,ok,
81,0.8933588221998318,0.9321479848978098,0.3815088716609867,-0.09117229697624432,99590,79635,accept-reject truncated Normal,ok,
82,0.9289057405474759,0.867860363922632,0.3026580091405775,-0.09656801165776627,98850,78335,accept-reject truncated Normal,ok,
83,0.8602060650427676,0.8583828174787054,0.36715041757806927,-0.06008199232660666,99296,79529,accept-reject truncated Normal,ok,
84,0.8950092558517503,0.8733762207377004,0.41232582145822666,-0.06230888869764889,100134,79783,accept-reject truncated Normal,ok,
85,0.8947831484992474,0.9037942197015655,0.48160168639532197,-0.04478633109539673,100882,80122,accept-reject truncated Normal,ok,
86,0.8880826723279578,0.9037960555337065,0.38296765503828134,-0.06323639348681262,99443,79623,accept-reject truncated Normal,ok,
87,0.8346201430342851,0.90998213524112,0.3639008764186154,-0.069267795747982,99158,79662,accept-reject truncated Normal,ok,
88,0.9279881758251097,0.8841862229650113,0.37866812472799144,-0.06598495410411576,100309,79115,accept-reject truncated Normal,ok,
89,0.7963526840935873,0.8932945148156846,0.5333297624984439,-0.01274919756778406,101149,80334,accept-reject truncated Normal,ok,
