scenario_id,se,sp,uhr,archived_tag,final_label,n,R,B,truth_prmst_s0,truth_prmst_s1,truth_delta_prmst,quadrature_abs_error_bound,quad_minus_dense,mean_delta,bias,rmse,coverage,coverage_mcse,bias_shifted_coverage_descriptive,mean_interval_width,median_interval_width,n_eval,min_boot_n,old_truth,old_bias,old_coverage,delta_truth_new_minus_old,delta_bias_new_minus_old,delta_coverage_new_minus_old
1001,1.0,1.0,1.0,core,proportional hazards,5000,1000,1000,2.302578724304306,2.503678646905774,0.20109992260146825,3.6415315207705135e-14,0.0,0.20301830122141534,0.0019183786199470922,0.06844799374087301,0.956,0.006485676526007139,0.957,0.2745111148962435,0.2744385718693346,1000,1000,0.2031085062426534,-9.020502123804251e-05,0.957,-0.002008583641185141,0.002008583641185135,-0.0010000000000000009
1002,1.0,1.0,0.5,core,proportional hazards,5000,1000,1000,2.343574059875296,2.5447836806784405,0.20120962080314442,3.419486915845482e-14,4.440892098500626e-16,0.22455880407360154,0.023349183270457118,0.07504296442391563,0.931,0.008014923580421711,0.942,0.2730819513335684,0.27324053924501257,1000,1000,0.2035989607720467,0.0209598433015548,0.932,-0.002389339968902282,0.0023893399689023168,-0.0010000000000000009
1003,1.0,1.0,0.33,core,proportional hazards,5000,1000,1000,2.3822224045787417,2.583521958592509,0.20129955401376742,3.375077994860476e-14,0.0,0.24377325457976576,0.04247370056599832,0.08151689762445848,0.915,0.008819013550278736,0.949,0.2729885487124274,0.2727490607229821,1000,1000,0.2039094692735426,0.0398637853062231,0.918,-0.002609915259775164,0.0026099152597752195,-0.0030000000000000027
1004,0.9,0.9,1.0,core,proportional hazards,5000,1000,1000,2.302578724304306,2.503678646905774,0.20109992260146825,3.6415315207705135e-14,0.0,0.15785568826059077,-0.04324423434087751,0.08114850606021644,0.894,0.009734680272099335,0.949,0.27205860396595516,0.2720421903959187,1000,1000,0.1976741005768345,-0.0398184123162437,0.902,0.0034258220246337623,-0.003425822024633811,-0.008000000000000007
1005,0.9,0.9,0.5,core,proportional hazards,5000,1000,1000,2.343574059875296,2.5447836806784405,0.20120962080314442,3.419486915845482e-14,4.440892098500626e-16,0.173981746565932,-0.027227874237212433,0.07435996962849162,0.928,0.00817410545564467,0.952,0.2709163370327343,0.2708024653481713,1000,1000,0.1980670305102756,-0.0240852839443436,0.93,0.003142590292868813,-0.003142590292868834,-0.0020000000000000018
1006,0.9,0.9,0.33,core,proportional hazards,5000,1000,1000,2.3822224045787417,2.583521958592509,0.20129955401376742,3.375077994860476e-14,0.0,0.1938088123872099,-0.007490741626557522,0.06883830365280447,0.953,0.00669260786241059,0.952,0.27011490894112994,0.26989453595508955,1000,1000,0.198913688320538,-0.005104875933328,0.952,0.002385865693229433,-0.0023858656932295224,0.0010000000000000009
1007,0.75,0.85,1.0,core,proportional hazards,5000,1000,1000,2.302578724304306,2.503678646905774,0.20109992260146825,3.6415315207705135e-14,0.0,0.11781119192126603,-0.08328873068020223,0.1128938198959262,0.75,0.013693063937629153,0.932,0.2737083751027187,0.2735069201498962,1000,1000,0.1975416443577584,-0.0797304524364924,0.762,0.003558278243709856,-0.003558278243709828,-0.01200000000000001
1008,0.75,0.85,0.5,core,proportional hazards,5000,1000,1000,2.343574059875296,2.5447836806784405,0.20120962080314442,3.419486915845482e-14,4.440892098500626e-16,0.13488938959226135,-0.0663202312108831,0.09590208502958811,0.833,0.01179453263168999,0.956,0.2725191181849375,0.2722095377056093,1000,1000,0.1977593313917336,-0.0628699417994722,0.846,0.0034502894114108174,-0.0034502894114109006,-0.013000000000000012
1009,0.75,0.85,0.33,core,proportional hazards,5000,1000,1000,2.3822224045787417,2.583521958592509,0.20129955401376742,3.375077994860476e-14,0.0,0.14706206761553106,-0.05423748639823637,0.08568766798354466,0.886,0.010050074626588601,0.96,0.27172969739117603,0.27186719641836066,1000,1000,0.1986223632723938,-0.0515602956568627,0.894,0.002677190741373625,-0.0026771907413736667,-0.008000000000000007
1010,0.9,0.9,0.5,early_benefit,"early benefit, then null",5000,1000,1000,2.343574059875296,2.7528100264333926,0.40923596655809646,2.4424906541753444e-14,-2.220446049250313e-15,0.33177927189404083,-0.07745669466405558,0.1031149084742047,0.799,0.01267276607532862,0.953,0.2704912444370238,0.2704138709639422,1000,1000,0.4106558421974227,-0.0788765703033817,0.794,-0.001419875639326218,0.0014198756393261208,0.0050000000000000044
1011,0.9,0.9,0.5,decay,delayed intensification of benefit,5000,1000,1000,2.343574059875296,2.9718335465706502,0.6282594866953541,3.108624468950438e-14,-8.881784197001252e-16,0.511830598877406,-0.11642888781794812,0.13606067701603344,0.585,0.015581238718407468,0.944,0.27100702651678266,0.2708987295966216,1000,1000,0.6315739415874342,-0.1197433427100281,0.568,-0.003314454892080043,0.003314454892079974,0.017000000000000015
1012,0.9,0.9,0.5,crossing,"early harm, later benefit",5000,1000,1000,2.343574059875296,2.025200211155313,-0.318373848719983,3.68594044175552e-14,1.7763568394002505e-15,-0.22904456580243748,0.08932928291754548,0.11296134220869587,0.727,0.014087973594523805,0.945,0.26664632537839816,0.266364146171878,1000,1000,-0.3176056240350382,0.0885610582326007,0.731,-0.0007682246849447516,0.0007682246849447794,-0.0040000000000000036
