prior,bias_loghr,rmse_loghr,coverage,width_ratio
global_mechanism_prior,0.0234471439541926,0.07700223305786483,0.7372000000000001,1.20210648536001
oracle_cell_specific,-5.0891220024746386e-05,0.04082547339075021,0.9522,1.002748997631081
oracle_mean_x1.25,0.008999252792190078,0.0447248774577836,0.9258666666666667,1.002748997631081
oracle_mean_x1.50,0.018049396804404885,0.05371296512317788,0.8518888888888889,1.002748997631081
