scenario_id,rows,successful,failed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_robust_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,max_abs_score_residual_sum
1,5000,5000,0,0.9994560202656726,0.9997411817265192,1.0008532046444434,-5.408446005615128e-05,-0.05439797343274044,0.039503215154732096,0.03978339985937477,0.056306331798549346,0.03949930166329986,0.9514,0.9536,0.15593467428988217,0.021,0.9982757377843476,3.620570510065591e-11
2,5000,5000,0,1.000450083766688,1.0003194726933926,0.9999475021178443,0.00014687521263477365,0.04500837666880919,0.012370857278436072,0.012577836765947956,0.017789912966903233,0.012370492088415907,0.9526,0.9522,0.049303593915431716,0.0276,1.0003168585636102,3.11519343654254e-09
3,5000,5000,0,0.8498846030881858,0.8499860723483408,1.0007524773845704,-0.0001933752855909202,-0.013576107272255241,0.0403694079796952,0.040728368123716205,0.05750694246527696,0.04036583402844576,0.9526,0.9506,0.15963021286350598,0.0224,0.849565397956035,3.381472879482317e-11
4,5000,5000,0,0.8499989417697341,0.8501238440814567,1.000040047572843,4.049435193886717e-05,-0.0001244976783364895,0.012937947189607894,0.012872862543782719,0.018166060273833235,0.012936716707809812,0.9486,0.9496,0.05046217752619083,0.0274,0.8498490241457678,3.2691289675312873e-09
5,5000,5000,0,0.8901681220840405,0.8943695847437441,0.8901452569905344,-0.11588007859410368,-10.983187791595949,0.041032756420942,0.04024883015810449,0.05692627430738686,0.12292901600946826,0.1824,0.1958,0.15774566800389042,0.7066,1.000942825646188,3.707789630880143e-11
6,5000,5000,0,0.8905841130470635,0.8940972240517189,0.8901193312378111,-0.11572395551126842,-10.941588695293646,0.012734354558620828,0.012722607508622124,0.017983519320499592,0.11642235709880425,0.0,0.0,0.04987061010151035,1.0,1.0004572443972615,3.342449872434372e-09
7,5000,5000,0,0.7626768950689065,0.7655325824679811,0.8969550059293496,-0.10841252363920974,-10.27330646248159,0.04103912814295242,0.04128508375285535,0.0582485363385661,0.11591871496246035,0.2452,0.2682,0.1618105122742603,0.6624,0.8513150572783265,3.11857206725108e-11
8,5000,5000,0,0.7630906655143962,0.7661340702020769,0.8972039273145366,-0.10798297803257347,-10.224627586541622,0.012778368962722757,0.01305138740121931,0.01840308076532819,0.10873627545942546,0.0,0.0,0.051160352936681516,1.0,0.8503375806477018,3.2411264783149822e-09
9,5000,5000,0,0.8420887018705114,0.8472549645713873,0.8417074269306601,-0.17176360207079583,-15.791129812948856,0.04063699392606291,0.04068657428573541,0.05748779567787942,0.1765043058925943,0.0112,0.0136,0.15947695824914426,0.9494,1.0002686775033613,3.326583453144849e-11
10,5000,5000,0,0.8425307965980458,0.8475718349736457,0.8419991510600835,-0.17181525117682486,-15.746920340195425,0.013060049381836494,0.012862993405642845,0.018164696719409092,0.17231079859902415,0.0,0.0,0.05042373159543734,1.0,1.0004509716158745,3.272020876465831e-09
11,5000,5000,0,0.7269665093969675,0.7314169054187332,0.8552607911190144,-0.1557447909717879,-14.474528306239115,0.04172456070229099,0.04175545054145626,0.05886052644931989,0.16123594727247367,0.0416,0.0504,0.16363484268365058,0.9272,0.850186163240898,3.012345928254945e-11
12,5000,5000,0,0.7270595141569868,0.7316534359353644,0.855133572895336,-0.15620682359223523,-14.46358656976626,0.01325141489185397,0.013200288345745334,0.01859558699593247,0.15676777925776847,0.0,0.0,0.05174313880617165,1.0,0.8499262922715016,3.079833277297439e-09
13,5000,5000,0,0.9998177504133294,1.000163154279571,0.999986321498704,-7.387856943603596e-05,-0.018224958667056868,0.039383221575194464,0.03942701485402921,0.055800297337949584,0.039379352356984705,0.9492,0.9492,0.15456395898805625,0.0246,0.9997183276037653,3.779554447191913e-11
14,5000,5000,0,1.0000720308022848,1.000034975621738,0.9999239645138519,-8.409016756081812e-05,0.007203080228479486,0.012285394249452535,0.012461958652999414,0.017625586793042065,0.012284453461118608,0.9514,0.9484,0.04884993463082127,0.0242,1.0000957400293367,3.163791006954852e-09
15,5000,5000,0,0.8800513299258623,0.8787174288774615,0.9990855998616202,0.03499521209599569,3.5354505795132174,0.03985421775648495,0.040253476264897455,0.05688399535385722,0.053034949522842455,0.8574,0.8652,0.1577627263460077,0.0228,0.8811257507224329,3.6751490739561625e-11
16,5000,5000,0,0.8803434329654954,0.878857287487352,1.0004934390714655,0.03512054286135834,3.5698156429994667,0.012506431352852773,0.012724974395714583,0.017970993989012755,0.03728045163212338,0.2042,0.2316,0.049882798873303984,0.0224,0.8800343624278546,3.3118965347966878e-09
17,5000,5000,0,0.9116658040011433,0.9138713595049259,0.9135379242871358,-0.09196056044554375,-8.833419599885673,0.040338998416341164,0.039841670911963556,0.05635946474241656,0.10041739900900358,0.363,0.369,0.1561762884976447,0.4978,0.9977968536394539,3.6962433114240405e-11
18,5000,5000,0,0.9129801362675034,0.9149899847631956,0.9127674533772216,-0.09088514287626313,-8.70198637324966,0.012533851238234889,0.012595486813208644,0.017807555804149534,0.091745164466666,0.0,0.0,0.04937515788073392,1.0,1.0002216268005895,3.339629017773404e-09
19,5000,5000,0,0.8086135659715863,0.809623186732688,0.9196557355034811,-0.04995763706170415,-4.868992238636905,0.04064140263053416,0.04075113682675808,0.05754948207004562,0.06439843758853617,0.7682,0.7692,0.15972003122874537,0.4576,0.8797256105143103,3.3586022851750386e-11
