scenario_id,prior,bias_loghr,rmse_loghr,coverage,width_ratio,n_eval
301,global_mechanism_prior,0.05950523593748569,0.07190435499179998,0.819,1.204357843662357,5000
301,oracle_cell_specific,-0.0001945445041864206,0.04036583964660046,0.953,1.0023108050264995,5000
301,oracle_mean_x1.25,-0.0001948368088353027,0.04036584105643076,0.953,1.0023108050264995,5000
301,oracle_mean_x1.50,-0.0001951291134841264,0.04036584246837766,0.953,1.0023108050264995,5000
302,global_mechanism_prior,-0.04871391241613311,0.06369394366509748,0.8784,1.1993382864938023,5000
302,oracle_cell_specific,-0.0002833432621732332,0.04103600224351955,0.9548,1.0040563589636073,5000
302,oracle_mean_x1.25,0.026748951832085872,0.04898346272816135,0.902,1.0040563589636073,5000
302,oracle_mean_x1.50,0.053781246926345,0.06764832383495113,0.7484,1.0040563589636073,5000
303,global_mechanism_prior,-0.0960461797487113,0.10471608960578964,0.5116,1.195237205164839,5000
303,oracle_cell_specific,0.0005961079369522098,0.041724646465590376,0.9474,1.0022562567457138,5000
303,oracle_mean_x1.25,0.03968133266413723,0.057577764284556326,0.8422,1.0022562567457138,5000
303,oracle_mean_x1.50,0.0787665573913223,0.08913339072023724,0.5388,1.0022562567457138,5000
304,global_mechanism_prior,0.09469382331907229,0.10273734070935651,0.508,1.2087872087855231,5000
304,oracle_cell_specific,0.0002929697948841941,0.03985130904433929,0.9562,1.0028400550881764,5000
304,oracle_mean_x1.25,-0.00838259078039368,0.040722338211825054,0.9502,1.0028400550881764,5000
304,oracle_mean_x1.50,-0.01705815135567151,0.04334768193248311,0.9352,1.0028400550881764,5000
305,global_mechanism_prior,0.009740974161372463,0.04178851326223702,0.98,1.2041482284091567,5000
305,oracle_cell_specific,-0.00025647972038949144,0.040638147655898446,0.9516,1.002331712561145,5000
305,oracle_mean_x1.25,0.012168809614939156,0.04242019790736801,0.9384,1.002331712561145,5000
305,oracle_mean_x1.50,0.024594098950267852,0.047500136486448116,0.9046,1.002331712561145,5000
306,global_mechanism_prior,-0.028325041308311552,0.04959680060886852,0.9528,1.2002668839301,5000
306,oracle_cell_specific,-0.0008742084688517646,0.04072221636852934,0.9542,1.0029031798159431,5000
306,oracle_mean_x1.25,0.020913152546782336,0.04577001873457443,0.923,1.0029031798159431,5000
306,oracle_mean_x1.50,0.04270051356241643,0.05899888578619444,0.8276,1.0029031798159431,5000
307,global_mechanism_prior,0.12493831311765644,0.13152723668603014,0.2446,1.2063717142238273,5000
307,oracle_cell_specific,0.00011216235612485846,0.04110771808275863,0.95,1.0028726042566638,5000
307,oracle_mean_x1.25,-0.016169722528488934,0.044173429029516736,0.9282,1.0028726042566638,5000
307,oracle_mean_x1.50,-0.03245160741310274,0.05237307255901236,0.87,1.0028726042566638,5000
308,global_mechanism_prior,0.06176200813256896,0.07410522064660433,0.8038,1.2020797274210184,5000
308,oracle_cell_specific,0.00012215964471322448,0.04095183758383978,0.9504,1.0024953942932209,5000
308,oracle_mean_x1.25,-0.00036314967148160415,0.04095326551324442,0.9502,1.0024953942932209,5000
308,oracle_mean_x1.50,-0.0008484589876764241,0.040960443859511184,0.95,1.0024953942932209,5000
309,global_mechanism_prior,0.03346907439273386,0.052950597345000065,0.9366,1.1983712701494558,5000
309,oracle_cell_specific,2.715524270424956e-05,0.041031543425676546,0.9522,1.0026746119287482,5000
309,oracle_mean_x1.25,0.006591328260965951,0.04155757965437571,0.9456,1.0026746119287482,5000
309,oracle_mean_x1.50,0.013155501279227693,0.04308890846138639,0.9394,1.0026746119287482,5000
