check,passed,observed,expected,note
primary_006_max_abs_score_residual_sum,True,3.342449872434372e-09,3.342449872434372e-09,
primary_007_successful,True,5000,5000,
primary_007_failed,True,0,0,
primary_007_median_HR_c,True,0.7626768950689065,0.7626768950689065,
primary_007_median_HR_naive,True,0.7655325824679811,0.7655325824679811,
primary_007_median_HR_o,True,0.8969550059293496,0.8969550059293496,
primary_007_bias_logHR_c,True,-0.10841252363920974,-0.1084125236392097,
primary_007_median_HR_percent_error_c,True,-10.27330646248159,-10.27330646248159,
primary_007_empirical_SE,True,0.04103912814295242,0.0410391281429524,
primary_007_avg_robust_SE,True,0.04128508375285535,0.0412850837528553,
primary_007_avg_model_SE,True,0.0582485363385661,0.0582485363385661,
primary_007_rmse_c,True,0.11591871496246035,0.1159187149624603,
primary_007_coverage_c,True,0.2452,0.2452,
primary_007_coverage_naive,True,0.2682,0.2682,
primary_007_median_interval_width_log,True,0.1618105122742603,0.1618105122742603,
primary_007_directional_signal_rate,True,0.6624,0.6624,
primary_007_median_cross_ratio,True,0.8513150572783265,0.8513150572783265,
primary_007_max_abs_score_residual_sum,True,3.11857206725108e-11,3.11857206725108e-11,
primary_008_successful,True,5000,5000,
primary_008_failed,True,0,0,
primary_008_median_HR_c,True,0.7630906655143962,0.7630906655143962,
primary_008_median_HR_naive,True,0.7661340702020769,0.7661340702020769,
primary_008_median_HR_o,True,0.8972039273145366,0.8972039273145366,
primary_008_bias_logHR_c,True,-0.10798297803257347,-0.1079829780325734,
primary_008_median_HR_percent_error_c,True,-10.224627586541622,-10.224627586541622,
primary_008_empirical_SE,True,0.012778368962722757,0.0127783689627227,
primary_008_avg_robust_SE,True,0.01305138740121931,0.0130513874012193,
primary_008_avg_model_SE,True,0.01840308076532819,0.0184030807653281,
primary_008_rmse_c,True,0.10873627545942546,0.1087362754594254,
primary_008_coverage_c,True,0.0,0.0,
primary_008_coverage_naive,True,0.0,0.0,
primary_008_median_interval_width_log,True,0.051160352936681516,0.0511603529366815,
primary_008_directional_signal_rate,True,1.0,1.0,
primary_008_median_cross_ratio,True,0.8503375806477018,0.8503375806477018,
primary_008_max_abs_score_residual_sum,True,3.2411264783149822e-09,3.2411264783149822e-09,
primary_009_successful,True,5000,5000,
primary_009_failed,True,0,0,
primary_009_median_HR_c,True,0.8420887018705114,0.8420887018705114,
primary_009_median_HR_naive,True,0.8472549645713873,0.8472549645713873,
primary_009_median_HR_o,True,0.8417074269306601,0.8417074269306601,
primary_009_bias_logHR_c,True,-0.17176360207079583,-0.1717636020707958,
primary_009_median_HR_percent_error_c,True,-15.791129812948856,-15.791129812948856,
primary_009_empirical_SE,True,0.04063699392606291,0.0406369939260629,
primary_009_avg_robust_SE,True,0.04068657428573541,0.0406865742857354,
primary_009_avg_model_SE,True,0.05748779567787942,0.0574877956778794,
primary_009_rmse_c,True,0.1765043058925943,0.1765043058925943,
primary_009_coverage_c,True,0.0112,0.0112,
primary_009_coverage_naive,True,0.0136,0.0136,
primary_009_median_interval_width_log,True,0.15947695824914426,0.1594769582491442,
primary_009_directional_signal_rate,True,0.9494,0.9494,
primary_009_median_cross_ratio,True,1.0002686775033613,1.0002686775033611,
primary_009_max_abs_score_residual_sum,True,3.326583453144849e-11,3.326583453144849e-11,
primary_010_successful,True,5000,5000,
primary_010_failed,True,0,0,
primary_010_median_HR_c,True,0.8425307965980458,0.8425307965980458,
primary_010_median_HR_naive,True,0.8475718349736457,0.8475718349736457,
primary_010_median_HR_o,True,0.8419991510600835,0.8419991510600835,
primary_010_bias_logHR_c,True,-0.17181525117682486,-0.1718152511768248,
primary_010_median_HR_percent_error_c,True,-15.746920340195425,-15.746920340195423,
primary_010_empirical_SE,True,0.013060049381836494,0.0130600493818364,
primary_010_avg_robust_SE,True,0.012862993405642845,0.0128629934056428,
primary_010_avg_model_SE,True,0.018164696719409092,0.018164696719409,
primary_010_rmse_c,True,0.17231079859902415,0.1723107985990241,
primary_010_coverage_c,True,0.0,0.0,
primary_010_coverage_naive,True,0.0,0.0,
primary_010_median_interval_width_log,True,0.05042373159543734,0.0504237315954373,
