scenario_id,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,planned_reps,master_seed,scenario_seed
209,low_bladder,low_bladder,0.9,0.9,1.0,0.85,50000,2.6917,2.4908,2000,20260817,3035760677
210,low_bladder,low_bladder,0.9,0.9,0.5,1.0,50000,2.6917,2.4908,2000,20260817,3872802752
211,low_bladder,low_bladder,0.9,0.9,0.5,0.85,50000,2.6917,2.4908,2000,20260817,236242957
212,low_bladder,low_bladder,0.9,0.9,0.33,1.0,50000,2.6917,2.4908,2000,20260817,927949605
213,low_bladder,low_bladder,0.9,0.9,0.33,0.85,50000,2.6917,2.4908,2000,20260817,292075571
214,low_bladder,low_bladder,0.75,0.85,1.0,1.0,50000,2.6917,2.4908,2000,20260817,2112728210
215,low_bladder,low_bladder,0.75,0.85,1.0,0.85,50000,2.6917,2.4908,2000,20260817,3698441187
216,low_bladder,low_bladder,0.75,0.85,0.5,1.0,50000,2.6917,2.4908,2000,20260817,3727077063
217,low_bladder,low_bladder,0.75,0.85,0.5,0.85,50000,2.6917,2.4908,2000,20260817,3548325325
218,low_bladder,low_bladder,0.75,0.85,0.33,1.0,50000,2.6917,2.4908,2000,20260817,1422390879
219,low_bladder,low_bladder,0.75,0.85,0.33,0.85,50000,2.6917,2.4908,2000,20260817,1333923205
