step,n,cohort
T1,115274,CRC
first,90256,CRC
hist,78242,CRC
hist_confirm,77916,CRC
site,76474,CRC
M0,68730,CRC
N0NX,63194,CRC
no_therapy,58537,CRC
adult_survival,58507,CRC
surgery,54035,CRC
T1,78538,Bladder
first,54173,Bladder
hist,52199,Bladder
hist_confirm,51535,Bladder
site,51535,Bladder
M0,49967,Bladder
N0NX,49620,Bladder
no_therapy,37857,Bladder
adult_survival,37853,Bladder
surgery,36500,Bladder
