cohort,exposure,cancer_cif_5y,other_cif_5y,overall_survival_5y
CRC,Local procedure,0.052051404862785,0.138315884081221,0.809632711055996
CRC,Oncologic resection,0.0343598242082489,0.0980195404043281,0.867620635387421
Bladder,Local procedure,0.138453544176293,0.144419319970137,0.717127135853569
Bladder,Cystectomy,0.136440069162287,0.119646111740667,0.743913819097047
