cohort,variable,level,exposure,n,unweighted_value,weighted_value,crude_smd,weighted_smd
Bladder,marital,Divorced/separated,Local procedure,2937,2937 (8.5%),8.9%,0.0119973400798209,2.19157915463886e-12
Bladder,marital,Divorced/separated,Cystectomy,173,173 (8.8%),8.9%,0.0119973400798209,2.19157915463886e-12
Bladder,marital,Widowed,Local procedure,4808,4808 (13.9%),8.3%,0.185819966498999,1.32861345344874e-11
Bladder,marital,Widowed,Cystectomy,159,159 (8.1%),8.3%,0.185819966498999,1.32861345344874e-11
Bladder,marital,Unknown,Local procedure,2373,2373 (6.9%),3.5%,0.16188174690352,2.77985427868383e-13
Bladder,marital,Unknown,Cystectomy,65,65 (3.3%),3.5%,0.16188174690352,2.77985427868383e-13
Bladder,sitegrp,Trigone,Local procedure,1965,1965 (5.7%),4.1%,0.0794321174755404,8.58707439292641e-14
Bladder,sitegrp,Trigone,Cystectomy,78,78 (4.0%),4.1%,0.0794321174755404,8.58707439292641e-14
Bladder,sitegrp,Main wall,Local procedure,12737,12737 (36.9%),28.9%,0.18691322931646,3.25697409495486e-13
Bladder,sitegrp,Main wall,Cystectomy,551,551 (28.2%),28.9%,0.18691322931646,3.25697409495486e-13
Bladder,sitegrp,Special/NOS,Local procedure,19841,19841 (57.4%),67.0%,0.216675603637679,3.50211394543904e-13
Bladder,sitegrp,Special/NOS,Cystectomy,1328,1328 (67.9%),67.0%,0.216675603637679,3.50211394543904e-13
Bladder,sizegrp,<=20 mm,Local procedure,4174,4174 (12.1%),15.6%,0.109956532634068,1.00995760655598e-12
Bladder,sizegrp,<=20 mm,Cystectomy,311,311 (15.9%),15.6%,0.109956532634068,1.00995760655598e-12
Bladder,sizegrp,21-50 mm,Local procedure,10096,10096 (29.2%),27.4%,0.0488585141276897,3.94691211764466e-13
Bladder,sizegrp,21-50 mm,Cystectomy,529,529 (27.0%),27.4%,0.0488585141276897,3.94691211764466e-13
Bladder,sizegrp,>50 mm,Local procedure,3101,3101 (9.0%),17.3%,0.27532371175768,1.14802089136194e-12
Bladder,sizegrp,>50 mm,Cystectomy,359,359 (18.3%),17.3%,0.27532371175768,1.14802089136194e-12
Bladder,sizegrp,Unknown,Local procedure,17172,17172 (49.7%),39.7%,0.222427743062064,2.21567312654546e-13
Bladder,sizegrp,Unknown,Cystectomy,758,758 (38.7%),39.7%,0.222427743062064,2.21567312654546e-13
Bladder,gradegrp,Low (I-II),Local procedure,6389,6389 (18.5%),8.0%,0.329158410190355,1.12592911280384e-12
Bladder,gradegrp,Low (I-II),Cystectomy,148,148 (7.6%),8.0%,0.329158410190355,1.12592911280384e-12
