cohort,analysis,n,log_hr_cancer,log_hr_other,covariance,log_ratio,robust_se,ratio,lower,upper
CRC,primary unknown-category,54035,-0.443122765968583,-0.392411549795732,4.90709316194361e-07,-0.0507112161728508,0.0625968069893628,0.950553135272343,0.840800421701155,1.07463226665368
CRC,known size and grade,32333,-0.406549436963453,-0.299634432971273,2.1487566058589e-07,-0.10691500399218,0.089749617408132,0.898602047331145,0.753652227501391,1.07143004425902
Bladder,primary unknown-category,36500,-0.0384088580452951,-0.208892937639335,-1.82156124603081e-06,0.17048407959404,0.0971752407128776,1.18587877211207,0.980218873249976,1.43468821150457
Bladder,known size and grade,17488,0.0547279338381076,-0.153202239487184,-1.35084258089125e-05,0.207930173325292,0.127301767153845,1.23112720102886,0.959271352719459,1.58002652827727
