cohort,analysis,endpoint,n,events,log_hr,robust_se,hr,lower,upper,ph_p
CRC,primary unknown-category,cancer death,54035,1998,-0.443122765968583,0.0536417796195651,0.642028383013139,0.577954198948534,0.713206072980139,0.0807856950261487
CRC,primary unknown-category,other-cause death,54035,5616,-0.392411549795732,0.032278493507937,0.675426085285796,0.634018340283544,0.719538170584269,0.0121440532833618
CRC,known size and grade,cancer death,32333,1189,-0.406549436963453,0.0762421491803377,0.665944172544544,0.57350762361817,0.773279417190971,0.226381579345852
CRC,known size and grade,other-cause death,32333,3345,-0.299634432971273,0.0473556571550893,0.741089088904709,0.67539908823454,0.813168165697747,0.189319515064441
Bladder,primary unknown-category,cancer death,36500,5204,-0.0384088580452705,0.0663925587631502,0.962319408414972,0.84489892579676,1.09605849355158,0.467035332592806
Bladder,primary unknown-category,other-cause death,36500,6339,-0.208892937639335,0.0709324497391368,0.811482110183185,0.706154985676,0.932519388101427,0.95279943655252
Bladder,known size and grade,cancer death,17488,2247,0.0547279338381076,0.0868596998731913,1.0562532048246,0.890905357302666,1.25228883579741,0.661058014604173
Bladder,known size and grade,other-cause death,17488,2846,-0.153202242561646,0.0929199420454995,0.857956189006681,0.715105404000342,1.02934311240992,0.821514714784865
