combo,se,sp,uhr,eff,n,dataset_id,beta_py,se_py,beta_r,se_r,abs_beta_diff,abs_se_diff
0,1.0,1.0,1.0,1.0,5000,0,0.0156075380168767,0.0396242247554029,0.0156075380168764,0.0395055044230678,3.0010716134398763e-16,0.00011872033233509965
0,1.0,1.0,1.0,1.0,5000,1,0.0046134364102274,0.0398354246764656,0.0046134364102222,0.0399117513626385,5.199833619240479e-15,7.632668617289784e-05
0,1.0,1.0,1.0,1.0,5000,2,0.0115734300559695,0.0403133271551641,0.0115734300559692,0.0402164266336824,3.0010716134398763e-16,9.690052148170203e-05
0,1.0,1.0,1.0,1.0,5000,3,0.0677898501138455,0.0400281375949708,0.0677898501132373,0.0398598877489137,6.082079284652764e-13,0.00016824984605710164
0,1.0,1.0,1.0,1.0,5000,4,0.1156216712765319,0.0402693708345031,0.115621671093677,0.0399408552789945,1.8285489788993914e-10,0.0003285155555085989
0,1.0,1.0,1.0,1.0,5000,5,-0.0051696585253926,0.0398980574260149,-0.0051696585253926,0.039984616838314,0.0,8.655941229910452e-05
0,1.0,1.0,1.0,1.0,5000,6,0.0145654502836245,0.0398183456506211,0.0145654502836212,0.0399747473980538,3.299444051307887e-15,0.00015640174743270646
0,1.0,1.0,1.0,1.0,5000,7,-0.021818464019422,0.0403921814049561,-0.0218184640194202,0.0405706843350182,1.8006429680639258e-15,0.00017850293006210077
0,1.0,1.0,1.0,1.0,5000,8,-0.0091461114748188,0.0398755435220967,-0.0091461114748151,0.0398942342685807,3.7001651742585295e-15,1.8690746484001375e-05
0,1.0,1.0,1.0,1.0,5000,9,-0.0577697998014631,0.0402059083913944,-0.0577697998013777,0.0400098879023328,8.540390616929017e-14,0.00019602048906160185
0,1.0,1.0,1.0,1.0,5000,10,0.0052048412456323,0.0399772442229092,0.0052048412456327,0.0400134567561186,3.9985376121265404e-16,3.621253320940099e-05
0,1.0,1.0,1.0,1.0,5000,11,0.0295427753527943,0.03931393106322,0.029542775352788,0.0395190260148147,6.300515664747763e-15,0.00020509495159469482
0,1.0,1.0,1.0,1.0,5000,12,0.0211867489071946,0.0401501331483603,0.0211867489071985,0.040060186196111,3.899658373995862e-15,8.994695224930072e-05
0,1.0,1.0,1.0,1.0,5000,13,0.0216780833929513,0.0396468641536676,0.0216780833929455,0.0394562830074985,5.800915303666443e-15,0.00019058114616910676
0,1.0,1.0,1.0,1.0,5000,14,0.0539406414295896,0.0397628074841808,0.0539408115353869,0.0396502560912347,1.701057973022002e-07,0.00011255139294609473
0,1.0,1.0,1.0,1.0,5000,15,-0.028423210412037,0.0396497975588876,-0.0284232104120257,0.0395532843701762,1.1299988722512921e-14,9.651318871140013e-05
0,1.0,1.0,1.0,1.0,5000,16,0.0575214129275432,0.0394978353040906,0.0575214129250684,0.0394956059674066,2.4748050830858404e-12,2.22933668399955e-06
0,1.0,1.0,1.0,1.0,5000,17,-0.011413218514294,0.0398126840604496,-0.0114132185142988,0.0396976057057292,4.799979858027825e-15,0.00011507835472039651
0,1.0,1.0,1.0,1.0,5000,18,0.009899491915504,0.0399060605953128,0.0098994919152719,0.0400886815044964,2.3210079691526886e-13,0.00018262090918359786
0,1.0,1.0,1.0,1.0,5000,19,0.0434885444006287,0.0399832997607418,0.0434885443941292,0.0399493479415355,6.499502325230111e-12,3.39518192063043e-05
0,1.0,1.0,1.0,1.0,5000,20,0.0247450686418914,0.0399191619265261,0.0247450686418898,0.0399277535503161,1.5994150448506161e-15,8.591623790001057e-06
0,1.0,1.0,1.0,1.0,5000,21,0.0458462673280922,0.0398034053934977,0.0458464237980324,0.0398221374655233,1.5646994019902216e-07,1.8732072025601232e-05
0,1.0,1.0,1.0,1.0,5000,22,-0.010355187987419,0.0399582782786356,-0.0103555218711796,0.0397504892746547,3.3388376059935443e-07,0.00020778900398089883
0,1.0,1.0,1.0,1.0,5000,23,-0.0375401745808615,0.0398847760583904,-0.0375401745807922,0.0398332447125251,6.929873341832149e-14,5.153134586530217e-05
0,1.0,1.0,1.0,1.0,5000,24,0.0735667425828815,0.0396024230307819,0.0735671970037288,0.0394729933958121,4.5442084729840904e-07,0.0001294296349697993
0,1.0,1.0,1.0,1.0,5000,25,-0.0296406345024117,0.0396705693932769,-0.0296406345024002,0.0394616554168108,1.1501216645726231e-14,0.0002089139764661005
0,1.0,1.0,1.0,1.0,5000,26,-0.0239172306699797,0.0394321911897364,-0.0239172306702915,0.0394143705603093,3.117991975720713e-13,1.7820629427095502e-05
0,1.0,1.0,1.0,1.0,5000,27,-0.0102163070306254,0.0400658443538069,-0.0102163070306216,0.0397350612062371,3.800779135865184e-15,0.0003307831475697978
0,1.0,1.0,1.0,1.0,5000,28,-0.0589073141662617,0.0404419897813669,-0.0589063991227272,0.0406402693725128,9.1504353449956e-07,0.00019827959114589871
0,1.0,1.0,1.0,1.0,5000,29,6.217451704201983e-06,0.0399271501243358,6.21745149327908e-06,0.0398092456081442,2.1092290308538826e-13,0.00011790451619159842
