combo,dataset_id,beta_python,se_python,score_residual_sum,beta_r,se_r,abs_beta_difference,abs_se_difference
0,0,0.015607538016877266,0.03950550442306801,7.607248164731573e-13,0.0156075380168764,0.0395055044230678,8.656270145124267e-16,2.0816681711721685e-16
0,1,0.004613436410227271,0.03991175136263851,-5.773159728050814e-13,0.0046134364102222,0.0399117513626385,5.070596720280207e-15,1.3877787807814457e-17
0,2,0.011573430055966463,0.04021642663368239,1.4477308241112041e-12,0.0115734300559692,0.0402164266336824,2.7373936450914016e-15,6.938893903907228e-18
0,3,0.06778985011384563,0.03985988774891387,-1.3162804179955856e-12,0.0677898501132373,0.0398598877489137,6.083328285555467e-13,1.734723475976807e-16
0,4,0.11562167127653031,0.03994085527907203,7.087663789206999e-13,0.115621671093677,0.0399408552789945,1.8285330194434124e-10,7.752826158835546e-14
0,5,-0.005169658525392223,0.03998461683831391,1.2541079286165768e-12,-0.0051696585253926,0.039984616838314,3.7643499428696714e-16,9.020562075079397e-17
0,6,0.014565450283623911,0.03997474739805392,-5.826450433232822e-13,0.0145654502836212,0.0399747473980538,2.7113727929517495e-15,1.1796119636642288e-16
0,7,-0.021818464019422296,0.04057068433501813,1.2561063300609021e-12,-0.0218184640194202,0.0405706843350182,2.095545958979983e-15,7.632783294297951e-17
0,8,-0.009146111474818806,0.03989423426858074,1.9699797348948778e-12,-0.0091461114748151,0.0398942342685807,3.70536934468646e-15,4.163336342344337e-17
0,9,-0.05776979980146307,0.040009887902332925,1.226574397605873e-12,-0.0577697998013777,0.0400098879023328,8.537615059367454e-14,1.249000902703301e-16
0,10,0.005204841245632574,0.04001345675611873,1.680877659282487e-13,0.0052048412456327,0.0400134567561186,1.2576745200831851e-16,1.3183898417423734e-16
0,11,0.02954277535279442,0.03951902601481461,-1.2922996006636822e-12,0.029542775352788,0.0395190260148147,6.418476861114186e-15,9.020562075079397e-17
0,12,0.02118674890719477,0.04006018619611098,1.3749001936957939e-12,0.0211867489071985,0.040060186196111,3.729655473350135e-15,2.0816681711721685e-17
0,13,0.021678083392952227,0.03945628300749862,-4.973799150320701e-14,0.0216780833929455,0.0394562830074985,6.727257639838058e-15,1.249000902703301e-16
0,14,0.053940641429589445,0.03965025376687815,-9.396927680427325e-13,0.0539408115353869,0.0396502560912347,1.7010579745485588e-07,2.324356554450624e-09
0,15,-0.028423210412036527,0.03955328437017634,-7.460698725481052e-14,-0.0284232104120257,0.0395532843701762,1.082814393704723e-14,1.3877787807814457e-16
0,16,0.05752141292754318,0.03949560596740677,-1.4952483695651608e-12,0.0575214129250684,0.0394956059674066,2.4747842664041286e-12,1.6653345369377348e-16
0,17,-0.011413218514293963,0.03969760570572939,-3.694822225952521e-13,-0.0114132185142988,0.0396976057057292,4.838143774499315e-15,1.8735013540549517e-16
0,18,0.009899491915504032,0.04008868150448372,-1.2096990076315706e-12,0.0098994919152719,0.0400886815044964,2.3213202193783644e-13,1.2677359162438506e-14
0,19,0.0434885444006289,0.03994934794153702,8.006928453596629e-13,0.0434885443941292,0.0399493479415355,6.499703553153324e-12,1.519617764955683e-15
0,20,0.024745068641891892,0.039927753550316074,1.184385922670117e-12,0.0247450686418898,0.0399277535503161,2.0920765120280294e-15,2.7755575615628914e-17
0,21,0.04584626732809229,0.03982214129200166,-9.654499422140361e-13,0.0458464237980324,0.0398221374655233,1.5646994010881654e-07,3.8264783563946025e-09
0,22,-0.01035518798741901,0.039750485182683475,-9.476863738200336e-13,-0.0103555218711796,0.0397504892746547,3.338837605906808e-07,4.091971227138114e-09
0,23,-0.03754017458086148,0.0398332447125248,-1.1723955140041653e-13,-0.0375401745807922,0.0398332447125251,6.927791673660977e-14,2.983724378680108e-16
0,24,0.07356674258288154,0.03947298736655471,2.2382096176443156e-13,0.0735671970037288,0.0394729933958121,4.5442084725677567e-07,6.029257391959586e-09
0,25,-0.029640634502411896,0.03946165541681075,2.227107387398064e-13,-0.0296406345024002,0.0394616554168108,1.1695505675035633e-14,4.85722573273506e-17
0,26,-0.023917230669979687,0.03941437056030909,-3.4416913763379853e-13,-0.0239172306702915,0.0394143705603093,3.118130753598791e-13,2.1510571102112408e-16
0,27,-0.010216307030625333,0.039735061206237224,-9.157119507108291e-13,-0.0102163070306216,0.0397350612062371,3.733124920302089e-15,1.249000902703301e-16
0,28,-0.05890731416626183,0.040640266304529306,-5.542233338928781e-13,-0.0589063991227272,0.0406402693725128,9.15043534631399e-07,3.067983492255344e-09
0,29,6.217451704306388e-06,0.03980924560814395,1.3438139490062895e-12,6.21745149327908e-06,0.0398092456081442,2.1102730836646683e-13,2.498001805406602e-16
0,30,-0.01042025741343645,0.040111924366299546,1.270095140171179e-13,-0.0104202574134361,0.0401119243662996,3.5041414214731503e-16,5.551115123125783e-17
0,31,-0.05704182153442164,0.039616294122077095,-1.7208456881689926e-13,-0.0570418215334628,0.0396162941220756,9.588371763236125e-13,1.4918621893400541e-15
0,32,-0.0266180532385678,0.0405489321672969,1.8394175071989594e-12,-0.0266184262194862,0.0405489270627662,3.7298091840054504e-07,5.104530700905663e-09
0,33,-0.05607892949798468,0.03949325779353676,1.5099033134902129e-12,-0.0560789294975287,0.0394932577935358,4.559824740013596e-13,9.575673587391975e-16
0,34,-0.0005192639567483353,0.03939616418279302,3.0953017926549364e-13,-0.0005192639567489,0.0393961641827928,5.646524914304507e-16,2.220446049250313e-16
0,35,-0.05176591014847975,0.039897090884761906,-1.461053500406706e-13,-0.0517659101480675,0.0398970908847608,4.1224662572503235e-13,1.1032841307212493e-15
0,36,-0.06489169378617854,0.03971612754143825,1.5631940186722204e-13,-0.0648916937853544,0.0397161275414361,8.241324289670615e-13,2.1510571102112408e-15
0,37,-0.034582022922815245,0.040017413626124,6.67021993194794e-13,-0.0345820229227768,0.040017413626124,3.8441472227646045e-14,0.0
0,38,-0.03656708753853431,0.040190353256576335,3.963496197911809e-13,-0.036567087538524,0.0401903532565762,1.0311196341206141e-14,1.3183898417423734e-16
0,39,-0.019486411488320282,0.03989760360156599,-3.810285420513537e-13,-0.0194858716020692,0.0398975985645562,5.398862510837266e-07,5.037009788433355e-09
0,40,0.006767770020678844,0.03981192902913979,-5.373479439185758e-13,0.0067677700206771,0.0398119290291397,1.7442644550946795e-15,9.020562075079397e-17
0,41,0.06973645115789717,0.03969596849368415,-1.2043699371133698e-12,0.0697364511525618,0.0396959684936844,5.335371033865499e-12,2.498001805406602e-16
0,42,0.07347982104742261,0.039991324693361904,1.3322676295501878e-13,0.0734800486442836,0.0399913218490558,2.2759686099660392e-07,2.844306103144678e-09
0,43,0.009088384431187356,0.04040472824126388,8.704148513061227e-14,0.0090883844311987,0.0404047282412635,1.1343356809412342e-14,3.7470027081099033e-16
0,44,-0.028304668482000406,0.040005515696640494,3.1441516057384433e-13,-0.0283046684813622,0.0400055156966394,6.382047668118673e-13,1.096345236817342e-15
0,45,0.019953364859186577,0.03944816571374004,-7.602807272633072e-13,0.019953364859044,0.0394481657137401,1.4257692249053378e-13,6.245004513516506e-17
0,46,0.04997921700312076,0.039599146878166604,2.589928271845565e-12,0.0499792170026193,0.0395991468781668,5.014599846475676e-13,1.942890293094024e-16
0,47,0.03401402266602559,0.03889846093389557,4.618527782440651e-14,0.0340140226652545,0.0388984609338957,7.710845850716908e-13,1.3183898417423734e-16
0,48,0.13629248159060656,0.03976918167183642,-4.1033842990145786e-13,0.136293073527297,0.0397691704404191,5.919366904416634e-07,1.1231417323953607e-08
0,49,0.005036297041617709,0.04037793172076059,8.22453216642316e-13,0.0050362970416249,0.0403779317207607,7.191296169661854e-15,1.1102230246251565e-16
1,0,-0.13839999912745787,0.04091833119046285,-5.517808432387028e-13,-0.138399998860479,0.0409183311897928,2.669788834452902e-10,6.700473509368976e-13
1,1,-0.14547109713034234,0.041155537246174705,1.2470025012589758e-12,-0.145471097130339,0.0411555372461749,3.3306690738754696e-15,1.942890293094024e-16
1,2,-0.13074926532382417,0.04060426077054298,1.3664624987086427e-12,-0.130749265248396,0.0406042607703405,7.542816371497452e-11,2.0247692411601292e-13
1,3,-0.1963450581647962,0.04059730856135368,2.859934511434403e-13,-0.196345058164798,0.0405973085613536,1.8041124150158794e-15,7.632783294297951e-17
1,4,-0.20855089398220736,0.04039289161919853,-2.69340105774063e-13,-0.208550893982207,0.0403928916191984,3.608224830031759e-16,1.3183898417423734e-16
1,5,-0.2051007189615471,0.040652465182724265,-9.636735853746359e-13,-0.205100718961546,0.0406524651827241,1.1102230246251565e-15,1.6653345369377348e-16
1,6,-0.17005795148110103,0.04063477346666705,-1.8607337892717624e-13,-0.170057951481101,0.0406347734666668,2.7755575615628914e-17,2.498001805406602e-16
1,7,-0.15327678144706336,0.04108497894883481,-2.3092638912203256e-13,-0.153276891290626,0.0410849805903266,1.0984356263454842e-07,1.6414917897167314e-09
1,8,-0.12409838081983973,0.04046697695739088,-3.2152058793144533e-13,-0.124098380575981,0.0404669769566599,2.4385873875765185e-10,7.30977778307107e-13
1,9,-0.13329646407292173,0.04044271434974492,-1.2922996006636822e-12,-0.133296464072922,0.0404427143497446,2.7755575615628914e-16,3.191891195797325e-16
1,10,-0.1722789584729774,0.04010812904927802,-5.373479439185758e-13,-0.17227895847298,0.040108129049278,2.609024107869118e-15,2.0816681711721685e-17
1,11,-0.13683499966956622,0.040776156518769174,9.339196083146817e-13,-0.136834999552652,0.040776156518442,1.1691422829862574e-10,3.271757864631297e-13
1,12,-0.23804194916046653,0.041237411500657524,5.204725539442734e-13,-0.238042245833236,0.0412374136852665,2.9667276946199195e-07,2.1846089728883022e-09
1,13,-0.16401935386319727,0.040479025823684685,1.0578204978628492e-12,-0.164019353138929,0.0404790258218604,7.242682564800873e-10,1.8242837795945377e-12
1,14,-0.15703262986091748,0.04081739167156381,1.0380585280245214e-12,-0.157032629176342,0.0408173916696716,6.845754796369619e-10,1.8922155509137895e-12
1,15,-0.20624972339068554,0.040664355549480204,-7.895906151134113e-13,-0.206249518696366,0.0406643604870208,2.0469431952219175e-07,4.937540598604073e-09
1,16,-0.1993019127429113,0.040598972851143694,2.4868995751603507e-14,-0.199302281233963,0.040598977424503,3.6849105169989294e-07,4.573359302373348e-09
1,17,-0.22686160989138182,0.041344473343374405,-1.0302869668521453e-13,-0.226861609891385,0.0413444733433745,3.191891195797325e-15,9.71445146547012e-17
1,18,-0.1029142148402081,0.040849205208561334,3.8413716652030416e-13,-0.102914798417769,0.0408492124346108,5.83577560900328e-07,7.226049467123907e-09
1,19,-0.14883053175543765,0.04051632857867769,5.03597163969971e-13,-0.148830531672462,0.0405163285783931,8.297565412540564e-11,2.8459179457485106e-13
1,20,-0.23436188140417447,0.04078333847084134,2.4424906541753444e-13,-0.234361881404171,0.0407833384708412,3.469446951953614e-15,1.3877787807814457e-16
1,21,-0.22949552135061868,0.04123067177186186,-8.952838470577262e-13,-0.229495521350619,0.041230671771862,3.0531133177191805e-16,1.3877787807814457e-16
1,22,-0.09970296003940542,0.04040411936762596,-1.7907897387203775e-12,-0.0997029272494876,0.040404121443579,3.2789917822628745e-08,2.075953041413836e-09
1,23,-0.1507391928962284,0.04123726757652563,7.105427357601002e-15,-0.150739192728189,0.041237267575881,1.6803938795995066e-10,6.446301825668854e-13
1,24,-0.18935519443961552,0.04065193452028933,3.468336728928989e-13,-0.189355193518454,0.0406519345166768,9.211615081827773e-10,3.612533883146085e-12
1,25,-0.12978020881658958,0.04049382929655642,-7.924771949774367e-13,-0.129780208630508,0.040493829296123,1.8608159457755846e-10,4.334171910258533e-13
1,26,-0.13239923013489344,0.04153715961069654,6.412648190234904e-13,-0.13239922998032,0.0415371596102072,1.545734373831209e-10,4.893377369974417e-13
1,27,-0.19312707351897043,0.04058590045145668,-5.861977570020827e-13,-0.193127073315788,0.0405859004507982,2.031824430925866e-10,6.584802147990843e-13
1,28,-0.16989416933353688,0.04110545171132182,2.611244553918368e-13,-0.169894169215095,0.0411054517109191,1.1844186742493434e-10,4.027195243949677e-13
1,29,-0.11986827729762049,0.04121069213297744,-3.361755318564974e-13,-0.119868277192297,0.0412106921327043,1.0532349992153911e-10,2.7314261963340414e-13
1,30,-0.18442174782159879,0.04108660074161909,2.2382096176443156e-13,-0.184421746702576,0.0410866007375469,1.1190227910962136e-09,4.0721939709165156e-12
1,31,-0.09543032394925348,0.041341458211979515,5.231370892033738e-13,-0.0954303239418791,0.0413414582119605,7.374378885316446e-12,1.9012569296705806e-14
1,32,-0.22637012210703733,0.04080620486496937,2.5845992013273644e-13,-0.226370122107034,0.0408062048649695,3.3306690738754696e-15,1.249000902703301e-16
1,33,-0.10382298597136877,0.04018832362367436,2.233324636335965e-12,-0.103822985923629,0.0401883236235682,4.773977047012323e-11,1.0615813783587669e-13
1,34,-0.18538755546879357,0.040693528130081924,-5.631051180898794e-13,-0.185387555468795,0.0406935281300822,1.4432899320127035e-15,2.7755575615628914e-16
1,35,-0.171710757600549,0.040236737896812994,-1.2168044349891716e-12,-0.171710651309878,0.0402367365151904,1.0629067098699707e-07,1.3816225941098992e-09
1,36,-0.12312629311806138,0.040199506551181985,-2.3518964553659316e-12,-0.123126292838406,0.04019950655079,2.796553821848846e-10,3.9198505552562324e-13
1,37,-0.17081360741106008,0.040526827769984265,-1.4788170688007085e-12,-0.170813607386729,0.0405268277698897,2.4331092696172618e-11,9.456324612244771e-14
1,38,-0.1812687987533991,0.040935568715892566,8.22453216642316e-13,-0.181268898276626,0.040935570135793,9.952322690964799e-08,1.4199004333415033e-09
1,39,-0.189575262709124,0.040910315796740676,-8.01136934569513e-13,-0.189575262709126,0.0409103157967406,1.9984014443252818e-15,7.632783294297951e-17
1,40,-0.11173937899259304,0.04091972377178415,7.389644451905042e-13,-0.11173915524653,0.0409197288866875,2.2374606303832145e-07,5.114903348091282e-09
1,41,-0.22126563909231814,0.040859745288834175,1.8474111129762605e-13,-0.221265639092319,0.0408597452888341,8.604228440844963e-16,7.632783294297951e-17
1,42,-0.18763026411680453,0.04052785922160444,-6.572520305780927e-14,-0.187630272866089,0.0405278596293843,8.74928446359391e-09,4.0777985849116405e-10
1,43,-0.15698521762412973,0.040494339187591995,-1.4512835377900046e-12,-0.156985217201293,0.0404943391860647,4.2283673784559994e-10,1.5272921816134044e-12
1,44,-0.14281168031754715,0.03997345700865165,-4.192202140984591e-13,-0.142811680229945,0.0399734570084021,8.760214775804798e-11,2.4955038036011956e-13
1,45,-0.10925339287997213,0.04076412589408007,4.418687638008123e-13,-0.109253392876013,0.0407641258940695,3.959124694752347e-12,1.0574874309554616e-14
1,46,-0.1330879956580194,0.04094237906176362,1.3713474800169934e-12,-0.133088214371438,0.0409423746748721,2.1871341859824867e-07,4.386891523655567e-09
1,47,-0.1305547346320703,0.04046245288115576,-9.769962616701378e-13,-0.130554734231949,0.0404624528798629,4.001212972060131e-10,1.2928616510698987e-12
