scenario_id,se,sp,uhr,archived_tag,final_label,n,R,B,truth_prmst_s0,truth_prmst_s1,truth_delta_prmst,quadrature_abs_error_bound,quad_minus_dense,mean_delta,bias,rmse,coverage,coverage_mcse,bias_shifted_coverage_descriptive,mean_interval_width,median_interval_width,n_eval,min_boot_n,old_truth,old_bias,old_coverage,delta_truth_new_minus_old,delta_bias_new_minus_old,delta_coverage_new_minus_old
1001,1.0,1.0,1.0,core,proportional hazards,5000,1000,1000,2.302578724304306,2.503678646905774,0.2010999226014682,3.6415315207705135e-14,0.0,0.2030183012214153,0.001918378619947,0.068447993740873,0.956,0.0064856765260071,0.957,0.2745111148962435,0.2744385718693346,1000,1000,0.2031085062426534,-9.020502123804251e-05,0.957,-0.0020085836411851,0.0020085836411851,-0.001
1002,1.0,1.0,0.5,core,proportional hazards,5000,1000,1000,2.343574059875296,2.5447836806784405,0.2012096208031444,3.419486915845482e-14,4.440892098500626e-16,0.2245588040736015,0.0233491832704571,0.0750429644239156,0.931,0.0080149235804217,0.942,0.2730819513335684,0.2732405392450125,1000,1000,0.2035989607720467,0.0209598433015548,0.932,-0.0023893399689022,0.0023893399689023,-0.001
1003,1.0,1.0,0.33,core,proportional hazards,5000,1000,1000,2.3822224045787417,2.583521958592509,0.2012995540137674,3.3750779948604765e-14,0.0,0.2437732545797657,0.0424737005659983,0.0815168976244584,0.915,0.0088190135502787,0.949,0.2729885487124274,0.2727490607229821,1000,1000,0.2039094692735426,0.0398637853062231,0.918,-0.0026099152597751,0.0026099152597752,-0.003
1004,0.9,0.9,1.0,core,proportional hazards,5000,1000,1000,2.302578724304306,2.503678646905774,0.2010999226014682,3.6415315207705135e-14,0.0,0.1578556882605907,-0.0432442343408775,0.0811485060602164,0.894,0.0097346802720993,0.949,0.2720586039659551,0.2720421903959187,1000,1000,0.1976741005768345,-0.0398184123162437,0.902,0.0034258220246337,-0.0034258220246338,-0.008
1005,0.9,0.9,0.5,core,proportional hazards,5000,1000,1000,2.343574059875296,2.5447836806784405,0.2012096208031444,3.419486915845482e-14,4.440892098500626e-16,0.173981746565932,-0.0272278742372124,0.0743599696284916,0.928,0.0081741054556446,0.952,0.2709163370327343,0.2708024653481713,1000,1000,0.1980670305102756,-0.0240852839443436,0.93,0.0031425902928688,-0.0031425902928688,-0.002
1006,0.9,0.9,0.33,core,proportional hazards,5000,1000,1000,2.3822224045787417,2.583521958592509,0.2012995540137674,3.3750779948604765e-14,0.0,0.1938088123872099,-0.0074907416265575,0.0688383036528044,0.953,0.0066926078624105,0.952,0.2701149089411299,0.2698945359550895,1000,1000,0.198913688320538,-0.005104875933328,0.952,0.0023858656932294,-0.0023858656932295,0.001
1007,0.75,0.85,1.0,core,proportional hazards,5000,1000,1000,2.302578724304306,2.503678646905774,0.2010999226014682,3.6415315207705135e-14,0.0,0.117811191921266,-0.0832887306802022,0.1128938198959262,0.75,0.0136930639376291,0.932,0.2737083751027187,0.2735069201498962,1000,1000,0.1975416443577584,-0.0797304524364924,0.762,0.0035582782437098,-0.0035582782437098,-0.012
1008,0.75,0.85,0.5,core,proportional hazards,5000,1000,1000,2.343574059875296,2.5447836806784405,0.2012096208031444,3.419486915845482e-14,4.440892098500626e-16,0.1348893895922613,-0.0663202312108831,0.0959020850295881,0.833,0.0117945326316899,0.956,0.2725191181849375,0.2722095377056093,1000,1000,0.1977593313917336,-0.0628699417994722,0.846,0.0034502894114108,-0.0034502894114109,-0.013
1009,0.75,0.85,0.33,core,proportional hazards,5000,1000,1000,2.3822224045787417,2.583521958592509,0.2012995540137674,3.3750779948604765e-14,0.0,0.147062067615531,-0.0542374863982363,0.0856876679835446,0.886,0.0100500746265886,0.96,0.271729697391176,0.2718671964183606,1000,1000,0.1986223632723938,-0.0515602956568627,0.894,0.0026771907413736,-0.0026771907413736,-0.008
1010,0.9,0.9,0.5,early_benefit,"early benefit, then null",5000,1000,1000,2.343574059875296,2.752810026433393,0.4092359665580964,2.4424906541753444e-14,-2.220446049250313e-15,0.3317792718940408,-0.0774566946640555,0.1031149084742047,0.799,0.0126727660753286,0.953,0.2704912444370238,0.2704138709639422,1000,1000,0.4106558421974227,-0.0788765703033817,0.794,-0.0014198756393262,0.0014198756393261,0.005
1011,0.9,0.9,0.5,decay,delayed intensification of benefit,5000,1000,1000,2.343574059875296,2.9718335465706502,0.6282594866953541,3.108624468950438e-14,-8.881784197001252e-16,0.511830598877406,-0.1164288878179481,0.1360606770160334,0.585,0.0155812387184074,0.944,0.2710070265167826,0.2708987295966216,1000,1000,0.6315739415874342,-0.1197433427100281,0.568,-0.00331445489208,0.0033144548920799,0.017
1012,0.9,0.9,0.5,crossing,"early harm, later benefit",5000,1000,1000,2.343574059875296,2.025200211155313,-0.318373848719983,3.6859404417555203e-14,1.7763568394002505e-15,-0.2290445658024374,0.0893292829175454,0.1129613422086958,0.727,0.0140879735945238,0.945,0.2666463253783981,0.266364146171878,1000,1000,-0.3176056240350382,0.0885610582326007,0.731,-0.0007682246849447,0.0007682246849447,-0.004
