endpoint,n,events,hr,lower,upper,p,ph_test_p
Cancer-specific death,36500,5204,0.962319408414972,0.844898925796761,1.09605849355158,0.562918842797208,0.467035332592798
All-cause death,36500,11687,0.884985698091411,0.805299076987427,0.972557535712374,0.0111487097174371,0.803219620086171
Other-cause death (falsification),36500,6339,0.811482110183188,0.706154985676003,0.93251938810143,0.0032300067855026,0.95279943655252
