analysis,endpoint,n,events,hr,lower,upper,p,ph_test_p
Primary association,Cancer-specific death,54035,1998,0.642028383013138,0.577954198948533,0.713206072980139,1.44727549179701e-16,0.0807856950261485
Primary association,All-cause death,54035,7739,0.663465382105681,0.628774383630038,0.700070366593745,1.09207115498635e-50,0.222101966389508
Primary association,Other-cause death (falsification),54035,5616,0.675426085285797,0.634018340283545,0.719538170584269,5.261913645751909e-34,0.0121440532833618
