cohort,period,cut_years,cancer_events,other_events,persons_at_period_start,log_hr_cancer,se_cancer,hr_cancer,cancer_lower,cancer_upper,log_hr_other,se_other,hr_other,other_lower,other_upper,covariance,log_ratio,se_ratio,ratio,ratio_lower,ratio_upper
CRC,0-2 years,2,1023,2419,54035,-0.327632841113904,0.0765466432613517,0.720627555949646,0.620230397000935,0.837276078220297,-0.49485581316624,0.0485257217100189,0.609658805732131,0.554346005948083,0.670490732175561,-4.24775754680478e-06,0.167222972052337,0.0906787173329688,1.1820177928608,0.989547695068475,1.41192392201251
CRC,2-5 years,2,975,3197,46999,-0.559999482931338,0.0751527466963323,0.571209359203198,0.492973989258455,0.661860745497196,-0.309376169540098,0.0433347688777471,0.733904645521724,0.674143477199909,0.798963495064192,3.1770188303214e-06,-0.25062331339124,0.0867149554115678,0.778315497372458,0.656662805425682,0.922505444872032
Bladder,0-2 years,2,2976,2946,36500,-0.0987985094131794,0.0939032373820832,0.905925225040409,0.753633687455104,1.08899127921933,-0.159848588750889,0.104375327684146,0.852272822890068,0.694596462869884,1.04574238923683,-1.22957728220032e-06,0.0610500793377094,0.140408283853102,1.06295214479374,0.807227165100869,1.39968934516769
Bladder,2-5 years,2,2228,3393,28543,0.0260171923014946,0.0941599010571919,1.02635859378815,0.853392058687096,1.23438219552149,-0.250060046638675,0.0964842260346346,0.778754020106178,0.644571754204483,0.940869375481727,-1.21993384884649e-05,0.276077238940169,0.134906232315559,1.31794965713077,1.01172927838627,1.71685384206896
