measure,estimate,lower,upper
Cancer HR,0.962319408414948,0.844898925796738,1.09605849355155
Other-cause HR,0.811482110183188,0.706154985676003,0.93251938810143
Ratio of HRs: cancer/other-cause,1.18587877211207,0.980218873249972,1.43468821150456
