scenario_id,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_robust_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings,max_abs_score_residual_sum,computational_time_s,cache_status
3,main_hi,,1.0,1.0,1.0,0.85,5000,-0.8,-0.5,5000,20260817,1705465395,0.8498846030881858,0.8499860723483408,1.0007524773845704,-0.0001933752855909,-0.0135761072722552,0.0403694079796952,0.0407283681237162,0.0575069424652769,0.0403658340284457,0.9526,0.9506,0.1596302128635059,0.0224,0.849565397956035,0.0005709096426985,0.0030051036587778,0.002092760855903,5000,0,0.0,0,3.381472879482317e-11,0.0,reused complete strict rerun
4,main_hi,,1.0,1.0,1.0,0.85,50000,-0.8,-0.5,5000,20260817,1479637334,0.8499989417697341,0.8501238440814567,1.000040047572843,4.049435193886717e-05,-0.0001244976783364,0.0129379471896078,0.0128728625437827,0.0181660602738332,0.0129367167078098,0.9486,0.9496,0.0504621775261908,0.0274,0.8498490241457678,0.0001829702038481,0.003122756474655,0.0023086463566341,5000,0,0.0,0,3.2691289675312873e-09,0.0,reused complete strict rerun
7,main_hi,,1.0,1.0,0.5,0.85,5000,-0.8,-0.5,5000,20260817,4190124856,0.7626768950689065,0.7655325824679811,0.8969550059293496,-0.1084125236392097,-10.27330646248159,0.0410391281429524,0.0412850837528553,0.0582485363385661,0.1159187149624603,0.2452,0.2682,0.1618105122742603,0.6624,0.8513150572783265,0.0005803809160773,0.0060840276133495,0.0066876937728936,5000,0,0.0,0,3.11857206725108e-11,0.0,reused complete strict rerun
8,main_hi,,1.0,1.0,0.5,0.85,50000,-0.8,-0.5,5000,20260817,1363535968,0.7630906655143962,0.7661340702020769,0.8972039273145366,-0.1079829780325734,-10.224627586541622,0.0127783689627227,0.0130513874012193,0.0184030807653281,0.1087362754594254,0.0,0.0,0.0511603529366815,1.0,0.8503375806477018,0.0001807134269208,0.0,0.0,5000,0,0.0,0,3.2411264783149822e-09,0.0,reused complete strict rerun
11,main_hi,,1.0,1.0,0.33,0.85,5000,-0.8,-0.5,5000,20260817,1710890882,0.7269665093969675,0.7314169054187332,0.8552607911190144,-0.1557447909717879,-14.474528306239115,0.0417245607022909,0.0417554505414562,0.0588605264493198,0.1612359472724736,0.0416,0.0504,0.1636348426836505,0.9272,0.850186163240898,0.0005900743962923,0.0028238073588685,0.0036742389688206,5000,0,0.0,0,3.012345928254945e-11,0.0,reused complete strict rerun
12,main_hi,,1.0,1.0,0.33,0.85,50000,-0.8,-0.5,5000,20260817,1319130456,0.7270595141569868,0.7316534359353644,0.855133572895336,-0.1562068235922352,-14.46358656976626,0.0132514148918539,0.0132002883457453,0.0185955869959324,0.1567677792577684,0.0,0.0,0.0517431388061716,1.0,0.8499262922715016,0.0001874033066069,0.0,0.0,5000,0,0.0,0,3.079833277297439e-09,0.0,reused complete strict rerun
15,main_hi,,0.9,0.9,1.0,0.85,5000,-0.8,-0.5,5000,20260817,184379484,0.8800513299258623,0.8787174288774615,0.9990855998616202,0.0349952120959956,3.5354505795132174,0.0398542177564849,0.0402534762648974,0.0568839953538572,0.0530349495228424,0.8574,0.8652,0.1577627263460077,0.0228,0.8811257507224329,0.0005636237526899,0.0049450023255808,0.002110931547919,5000,0,0.0,0,3.6751490739561625e-11,0.0,reused complete strict rerun
16,main_hi,,0.9,0.9,1.0,0.85,50000,-0.8,-0.5,5000,20260817,2636532921,0.8803434329654954,0.878857287487352,1.0004934390714653,0.0351205428613583,3.5698156429994667,0.0125064313528527,0.0127249743957146,0.0179709939890128,0.0372804516321233,0.2042,0.2316,0.049882798873304,0.0224,0.8800343624278546,0.0001768676483609,0.0057009185224838,0.002092760855903,5000,0,0.0,0,3.3118965347966878e-09,400.6821172237396,newly computed
19,main_hi,,0.9,0.9,0.5,0.85,5000,-0.8,-0.5,5000,20260817,2268338296,0.8086135659715863,0.809623186732688,0.9196557355034812,-0.0499576370617041,-4.868992238636905,0.0406414026305341,0.040751136826758,0.0575494820700456,0.0643984375885361,0.7682,0.7692,0.1597200312287453,0.4576,0.8797256105143103,0.0005747562279396,0.0059677258650175,0.0070455977744972,5000,0,0.0,0,3.3586022851750386e-11,0.0,reused complete strict rerun
20,main_hi,,0.9,0.9,0.5,0.85,50000,-0.8,-0.5,5000,20260817,3352976826,0.8087277784657437,0.8091595327176164,0.9186319711474884,-0.0496132233243254,-4.855555474618383,0.0129961122209366,0.0128817048885544,0.0181808224543583,0.0512868119666449,0.0304,0.0294,0.0504952003741851,1.0,0.8803671126251656,0.0001837927816097,0.0024279967051048,0.0,5000,0,0.0,0,3.3791422993090237e-09,421.4250371456146,newly computed
23,main_hi,,0.9,0.9,0.33,0.85,5000,-0.8,-0.5,5000,20260817,1390767563,0.7782142346916558,0.7797652562059878,0.8856194274155234,-0.0880236525313881,-8.445384153922838,0.0407169035999308,0.0411804513729635,0.0581145599509666,0.0969829782512625,0.4292,0.4336,0.1614088225307237,0.757,0.8791801613947855,0.0005758239728886,0.0069998194262423,0.0060654925603779,5000,0,0.0,0,3.290878680672904e-11,0.0,reused complete strict rerun
24,main_hi,,0.9,0.9,0.33,0.85,50000,-0.8,-0.5,5000,20260817,1851916202,0.7789046389065193,0.7801519912272095,0.8845173867392686,-0.0873493693426393,-8.364160128644787,0.0128741223602206,0.0130173042356765,0.0183603013098017,0.0882928207868422,0.0,0.0,0.0510301234097022,1.0,0.8807670365475653,0.0001820675844547,0.0,0.0,5000,0,0.0,0,3.3264484500250542e-09,417.1547644138336,newly computed
27,main_hi,,0.75,0.85,1.0,0.85,5000,-0.8,-0.5,5000,20260817,730609205,0.9069250900654212,0.9048599859925344,1.0002514382968442,0.0652397018945798,6.697069419461308,0.0411116764382741,0.0405105995765256,0.0572139014267011,0.0771106387528405,0.6436,0.6554,0.1587652471137937,0.024,0.9071804488295824,0.000581406903909,0.0067731682394578,0.0021644398813549,5000,0,0.0,0,3.1590730031894054e-11,18.80655574798584,newly computed
28,main_hi,,0.75,0.85,1.0,0.85,50000,-0.8,-0.5,5000,20260817,3314776866,0.9076564186000596,0.9058052126260778,1.0005377873950947,0.0657626962422145,6.783108070595266,0.0126543359928825,0.0128073056949637,0.0180771401159156,0.0669688913602626,0.0004,0.001,0.0502014975584513,0.0232,0.906984275053267,0.0001789593358396,0.0002827861382741,0.0021289321266775,5000,0,0.0,0,3.0415776564041153e-09,351.7871537208557,newly computed
31,main_hi,,0.75,0.85,0.5,0.85,5000,-0.8,-0.5,5000,20260817,3042424778,0.8512491600559449,0.8502401337852166,0.9373643222370563,0.0020633969094923,0.1469600065817514,0.0409557511617726,0.0409784645733149,0.0578425321962791,0.0410036057599877,0.951,0.9494,0.1605851633197644,0.2906,0.907963567805373,0.0005792017875015,0.0030528347482299,0.0064210846435785,5000,0,0.0,0,2.964384293591138e-11,19.22758102416992,newly computed
32,main_hi,,0.75,0.85,0.5,0.85,50000,-0.8,-0.5,5000,20260817,2356173794,0.8517994073565551,0.850669257267018,0.9376832107352038,0.0020426889046641,0.2116949831241352,0.0131458592016123,0.0129535381373097,0.0182735943087471,0.0133023166924797,0.942,0.9418,0.0507774328317893,0.9934,0.9084749275760058,0.0001859105237196,0.0033056315584166,0.0011451148414023,5000,0,0.0,0,3.007464499660273e-09,384.12764024734497,newly computed
35,main_hi,,0.75,0.85,0.33,0.85,5000,-0.8,-0.5,5000,20260817,3567053798,0.827939790527348,0.8275007959142444,0.9108988562759804,-0.0262295368303427,-2.595318761488467,0.0410356382088376,0.0413946593610885,0.0584058322910557,0.0486988236081764,0.9064,0.9052,0.1622639409015003,0.5286,0.909142815511979,0.0005803315609557,0.004119199922315,0.0070594906331831,5000,0,0.0,0,3.04840597209477e-11,37.32463812828064,newly computed
36,main_hi,,0.75,0.85,0.33,0.85,50000,-0.8,-0.5,5000,20260817,3333225663,0.8284209355876645,0.8279790116296757,0.9114507182193764,-0.0259658624416454,-2.5387134602747623,0.0129983366780214,0.0130807703487015,0.0184467826027799,0.0290370276953818,0.4974,0.4774,0.0512785030273049,1.0,0.9087039662342008,0.0001838242401834,0.0070709722103823,0.0,5000,0,0.0,0,2.973735035993741e-09,406.1567318439484,newly computed
