scenario_id,replica_source,se,sp,uhr,true_hr,prior,prior_interpretation,prior_mu_B,prior_sd_B,bias_loghr,rmse_loghr,coverage,width_ratio,mcse_coverage,n_eval,unadjusted_bias_loghr,unadjusted_coverage
306,23,0.9,0.9,0.33,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.0596986112230765,0.0273352044182359,-0.0283250413083115,0.0495968006088685,0.9528,1.2002668839301012,0.0029990718564249,5000,-0.0880236525313881,0.4292
306,23,0.9,0.9,0.33,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.1089368050781704,0.0031400911571559,0.0209131525467822,0.0457700187345744,0.923,1.0029031798159442,0.0037701724098507,5000,-0.0880236525313881,0.4292
306,23,0.9,0.9,0.33,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.1307241660938045,0.0031400911571559,0.0427005135624163,0.0589988857861943,0.8276,1.0029031798159442,0.005341876823739,5000,-0.0880236525313881,0.4292
307,27,0.75,0.85,1.0,0.85,oracle_cell_specific,DGM-informed benchmark,0.065127539538455,0.0030726822722281,0.0001121623561247,0.0411077180827586,0.95,1.002872604256665,0.0030822070014844,5000,0.0652397018945798,0.6436
307,27,0.75,0.85,1.0,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.0596986112230765,0.0273352044182359,0.1249383131176564,0.1315272366860301,0.2446,1.2063717142238286,0.00607899399572,5000,0.0652397018945798,0.6436
307,27,0.75,0.85,1.0,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,0.0814094244230688,0.0030726822722281,-0.0161697225284889,0.0441734290295167,0.9282,1.002872604256665,0.0036508837286333,5000,0.0652397018945798,0.6436
307,27,0.75,0.85,1.0,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,0.0976913093076826,0.0030726822722281,-0.0324516074131027,0.0523730725590123,0.87,1.002872604256665,0.0047560487802376,5000,0.0652397018945798,0.6436
308,31,0.75,0.85,0.5,0.85,oracle_cell_specific,DGM-informed benchmark,0.0019412372647791,0.0028966422571824,0.0001221596447131,0.0409518375838397,0.9504,1.0024953942932218,0.0030704996336101,5000,0.0020633969094923,0.951
308,31,0.75,0.85,0.5,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.0596986112230765,0.0273352044182359,0.0617620081325689,0.0741052206466043,0.8038,1.2020797274210198,0.0056161474339621,5000,0.0020633969094923,0.951
308,31,0.75,0.85,0.5,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,0.0024265465809739,0.0028966422571824,-0.0003631496714816,0.0409532655132444,0.9502,1.0024953942932218,0.0030763601869742,5000,0.0020633969094923,0.951
308,31,0.75,0.85,0.5,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,0.0029118558971687,0.0028966422571824,-0.0008484589876764,0.0409604438595111,0.95,1.0024953942932218,0.0030822070014844,5000,0.0020633969094923,0.951
309,35,0.75,0.85,0.33,0.85,oracle_cell_specific,DGM-informed benchmark,-0.0262566920730469,0.0030294438582424,2.715524270418259e-05,0.0410315434256765,0.9522,1.0026746119287493,0.0030171231330524,5000,-0.0262295368303427,0.9064
309,35,0.75,0.85,0.33,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.0596986112230765,0.0273352044182359,0.0334690743927338,0.052950597345,0.9366,1.198371270149457,0.0034461700480388,5000,-0.0262295368303427,0.9064
309,35,0.75,0.85,0.33,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.0328208650913086,0.0030294438582424,0.0065913282609659,0.0415575796543757,0.9456,1.0026746119287493,0.0032075111847038,5000,-0.0262295368303427,0.9064
309,35,0.75,0.85,0.33,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.0393850381095704,0.0030294438582424,0.0131555012792276,0.0430889084613863,0.9394,1.0026746119287493,0.0033742448043969,5000,-0.0262295368303427,0.9064
