Se,Sp,uhr,B
0.868612231856985,0.8396167802321268,0.4479495459472796,-0.0297263376489818
0.910574835971928,0.8986063755374977,0.4033616051582019,-0.0729943599192259
0.7423163503647634,0.891828405589022,0.5216321504706116,-0.0018738641947998
0.8620721940801261,0.8977161511683855,0.3505329173165439,-0.0669835390215743
0.8433712421590294,0.8914710917332556,0.216687027831149,-0.0953048850830652
0.8388337580532251,0.9310192285919144,0.3043163718017496,-0.0830570474429382
0.9086255392437288,0.8691518538100523,0.4371627238422521,-0.0596358281814758
0.8518920358367263,0.8777255886786085,0.2559388245495477,-0.0725875622135968
0.9003356529378757,0.9145457307968188,0.3281168839968951,-0.0897615469218048
0.9155935453406464,0.9215119007351196,0.4563379477800242,-0.0696208856906502
0.7989218389895384,0.927346650890052,0.2661727768068299,-0.0953224039788255
0.8470468291299342,0.887686174336068,0.4869232491332405,-0.037888207143251
0.8353218116979485,0.9216536830850316,0.4366184081390913,-0.0538363526945077
0.8362018766744754,0.8680445866940675,0.3445799248901053,-0.0462778031060878
0.8481288328298072,0.9024410540169592,0.3983934484776932,-0.0632614065841645
0.8721724960600472,0.887841938086092,0.3529578155097136,-0.0772661343928897
0.7793042502291809,0.8695563415462553,0.3631562877596249,-0.0431006187151997
0.9029458012919976,0.9515935140616918,0.370035767852948,-0.0919864200763818
0.9002881501418548,0.9040541130374578,0.4044146113790137,-0.0762749708766148
0.911611154747202,0.918899841116776,0.3935872107447706,-0.0886737584806937
0.9239160064222728,0.9505420371940873,0.3283167253709212,-0.1082124781298011
0.891788868372115,0.9063663369774072,0.3047917453589113,-0.0982526149449676
0.8728878183336738,0.8905418471562927,0.6087753875867464,-0.0239145737278645
0.8571504927032796,0.8889105428686866,0.2927224681014754,-0.0777620834815241
0.8909566473520911,0.9165058897520084,0.3872219891415718,-0.0814954804303924
0.8572763355011856,0.9150090407750407,0.5219567227929469,-0.0441091358149596
0.8552420873062135,0.9015300140077028,0.5011538598422286,-0.0478841886593239
0.7652632786182043,0.9259211068277,0.3299643434817837,-0.0606201387728658
0.8339452056772936,0.8663286481117312,0.6022350214812057,-0.0060906844353681
0.8760398753273866,0.9233353403918486,0.578353908798218,-0.0241824985778254
0.7756222681015345,0.9269261727776236,0.3710336964989303,-0.0598840860160666
0.8540875586970627,0.8819858062184219,0.2791490868024777,-0.0877798475272027
