measure,estimate,lower,upper
CSS HR,0.642028383013138,0.577954198948533,0.713206072980139
Other-cause HR,0.675426085285797,0.634018340283545,0.719538170584269
Ratio of HRs: CSS/other-cause,0.950553135272342,0.840800421701154,1.07463226665368
