scenario_id,se,sp,uhr,prior,mu_B,sd_B,bias_logHR,rmse_logHR,coverage,width_ratio,mcse_coverage,mc_se_avg,n_eval
301.0,1.0,1.0,1.0,oracle,1.1692185881181927e-06,0.002770307443987556,-0.00019697987287567423,0.040366542639048326,0.9532,1.0023088067462518,0.002986963675708158,8.759553889478912e-05,5000.0
301.0,1.0,1.0,1.0,externally_informed,1.1692185881181927e-06,0.002770307443987556,0.05949783803571267,0.07189133124530818,0.8182,1.204196324961912,0.005454333323147752,0.000864461044964659,5000.0
301.0,1.0,1.0,1.0,moderate_mis,1.1692185881181927e-06,0.002770307443987556,-0.00019405709590229593,0.04036707571747494,0.9534,1.0023088067462518,0.0029808871162793123,8.761440360664224e-05,5000.0
301.0,1.0,1.0,1.0,severe_mis,1.1692185881181927e-06,0.002770307443987556,-0.0001952302225158348,0.040365211002155656,0.9532,1.0023088067462518,0.002986963675708158,8.764032897788703e-05,5000.0
302.0,1.0,1.0,0.5,oracle,-0.10812918037703695,0.0037221930200514535,-0.0002813546919540156,0.04103587854672689,0.955,1.0040583955104632,0.0029317230428538106,0.00011765550427705083,5000.0
302.0,1.0,1.0,0.5,externally_informed,-0.10812918037703695,0.0037221930200514535,-0.048717102459059476,0.06369457309248265,0.8796,1.1994305144232789,0.004602256837683007,0.0008643564918870552,5000.0
302.0,1.0,1.0,0.5,moderate_mis,-0.10812918037703695,0.0037221930200514535,0.026749246799998252,0.04898404802851066,0.9018,1.0040583955104632,0.0042084857134128415,0.00011768530909938377,5000.0
302.0,1.0,1.0,0.5,severe_mis,-0.10812918037703695,0.0037221930200514535,0.053779389876237794,0.06764730054246965,0.748,1.0040583955104632,0.006139967426623695,0.00011773331290540454,5000.0
303.0,1.0,1.0,0.33,oracle,-0.1563408989087401,0.00280639610871987,0.0005956558622910336,0.04172598894528157,0.9468,1.0022634928777527,0.003173948959892078,8.879397483770774e-05,5000.0
303.0,1.0,1.0,0.33,externally_informed,-0.1563408989087401,0.00280639610871987,-0.0960280817576206,0.10470256849221103,0.511,1.1958129643192998,0.007069356406349874,0.0008636952744202176,5000.0
303.0,1.0,1.0,0.33,moderate_mis,-0.1563408989087401,0.00280639610871987,0.03968106741195557,0.0575764498665253,0.8404,1.0022634928777527,0.0051793404985577066,8.87589988675652e-05,5000.0
303.0,1.0,1.0,0.33,severe_mis,-0.1563408989087401,0.00280639610871987,0.07876649139987983,0.0891347481365023,0.5366,1.0022634928777527,0.00705209812750787,8.87618876295522e-05,5000.0
304.0,0.9,0.9,1.0,oracle,0.03470224230111196,0.0030358160531936402,0.00029216154588916794,0.039851430314502334,0.956,1.0028370877479458,0.002900482718445329,9.598185060446901e-05,5000.0
304.0,0.9,0.9,1.0,externally_informed,0.03470224230111196,0.0030358160531936402,0.09470240140247367,0.10274990020209132,0.5088,1.20858785584807,0.007069972560059904,0.0008643753145433314,5000.0
304.0,0.9,0.9,1.0,moderate_mis,0.03470224230111196,0.0030358160531936402,-0.008382209912457125,0.040722154797982024,0.9502,1.0028370877479458,0.0030763601869742093,9.596546981196221e-05,5000.0
304.0,0.9,0.9,1.0,severe_mis,0.03470224230111196,0.0030358160531936402,-0.017058908055696223,0.04334749202961549,0.9352,1.0028370877479458,0.003481406612276135,9.594696455800021e-05,5000.0
305.0,0.9,0.9,0.5,oracle,-0.049701157341310635,0.0027843891704616235,-0.0002588140392960339,0.0406378568889613,0.9516,1.0023315802193646,0.0030350433275325743,8.802305294040624e-05,5000.0
305.0,0.9,0.9,0.5,externally_informed,-0.049701157341310635,0.0027843891704616235,0.009739225658067183,0.04179598969441314,0.98,1.2041378295956853,0.001979898987322334,0.0008645815332618849,5000.0
305.0,0.9,0.9,0.5,moderate_mis,-0.049701157341310635,0.0027843891704616235,0.01216898049328268,0.04242130535128926,0.9388,1.0023315802193646,0.003389824774232439,8.806408572856139e-05,5000.0
305.0,0.9,0.9,0.5,severe_mis,-0.049701157341310635,0.0027843891704616235,0.02459349752861677,0.047501714278591976,0.905,1.0023315802193646,0.0041466854233230665,8.807690285475588e-05,5000.0
306.0,0.9,0.9,0.33,oracle,-0.08714944406253068,0.003140091157151929,-0.0008745114153636978,0.040722382075321154,0.9542,1.0029084581374224,0.002956428926931948,9.921931624186782e-05,5000.0
306.0,0.9,0.9,0.33,externally_informed,-0.08714944406253068,0.003140091157151929,-0.028320479741905664,0.04960298621668011,0.9528,1.20060123529747,0.002999071856424918,0.0008645418423810544,5000.0
306.0,0.9,0.9,0.33,moderate_mis,-0.08714944406253068,0.003140091157151929,0.02091395670387798,0.04577046719627723,0.923,1.0029084581374224,0.003770172409850774,9.926421749513463e-05,5000.0
306.0,0.9,0.9,0.33,severe_mis,-0.08714944406253068,0.003140091157151929,0.0427009677220912,0.05899896410082855,0.8278,1.0029084581374224,0.0053394224406765195,9.927763672940728e-05,5000.0
307.0,0.75,0.85,1.0,oracle,0.0651275395384551,0.0030726822722281903,0.00011209555554789179,0.04110672318852318,0.9506,1.0028697738009336,0.003064625262572897,9.714434590619083e-05,5000.0
307.0,0.75,0.85,1.0,externally_informed,0.0651275395384551,0.0030726822722281903,0.12494536521614916,0.13154169821919356,0.246,1.2061857467404604,0.006090714243830521,0.0008644512962195145,5000.0
307.0,0.75,0.85,1.0,moderate_mis,0.0651275395384551,0.0030726822722281903,-0.016172053183800394,0.044173842571728475,0.9286,1.0028697738009336,0.003641484312749405,9.717602315436056e-05,5000.0
307.0,0.75,0.85,1.0,severe_mis,0.0651275395384551,0.0030726822722281903,-0.032450854936864115,0.052373503493716125,0.8708,1.0028697738009336,0.0047435716501387434,9.714026517164325e-05,5000.0
308.0,0.75,0.85,0.5,oracle,0.0019412372647714651,0.0028966422571899825,0.00012169962537393,0.04095085738190636,0.9506,1.002494484686541,0.003064625262572897,9.15652190602695e-05,5000.0
308.0,0.75,0.85,0.5,externally_informed,0.0019412372647714651,0.0028966422571899825,0.06174405789707056,0.07408680975593081,0.803,1.2020123869089208,0.005624784440314135,0.0008646388432735944,5000.0
308.0,0.75,0.85,0.5,moderate_mis,0.0019412372647714651,0.0028966422571899825,-0.0003645973711303993,0.040954147987414716,0.9502,1.002494484686541,0.0030763601869742093,9.158071450082447e-05,5000.0
